siteID,dateResight,yearResight,birdID,resightTypePart,notesResight,notesResightPart
TATEJUAMD1,3/15/2014,2014,1202-99042,P,NA,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant (unknown date); yearColumn = 2010, resighted by participant (unknown date); yearColumn = 2014, re-sighted by participant Mar, Apr, May and Dec 2014; yearColumn = 2015, resighted by participant Mar and Apr 2015"
TATEJUAMD1,4/15/2014,2014,1202-99042,P,NA,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant (unknown date); yearColumn = 2010, resighted by participant (unknown date); yearColumn = 2014, re-sighted by participant Mar, Apr, May and Dec 2014; yearColumn = 2015, resighted by participant Mar and Apr 2015"
TATEJUAMD1,5/15/2014,2014,1202-99042,P,NA,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant (unknown date); yearColumn = 2010, resighted by participant (unknown date); yearColumn = 2014, re-sighted by participant Mar, Apr, May and Dec 2014; yearColumn = 2015, resighted by participant Mar and Apr 2015"
TATEJUAMD1,12/15/2014,2014,1202-99042,P,NA,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant (unknown date); yearColumn = 2010, resighted by participant (unknown date); yearColumn = 2014, re-sighted by participant Mar, Apr, May and Dec 2014; yearColumn = 2015, resighted by participant Mar and Apr 2015"
TATEJUAMD1,3/15/2015,2015,1202-99042,P,NA,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant (unknown date); yearColumn = 2010, resighted by participant (unknown date); yearColumn = 2014, re-sighted by participant Mar, Apr, May and Dec 2014; yearColumn = 2015, resighted by participant Mar and Apr 2015"
TATEJUAMD1,4/15/2015,2015,1202-99042,P,NA,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant (unknown date); yearColumn = 2010, resighted by participant (unknown date); yearColumn = 2014, re-sighted by participant Mar, Apr, May and Dec 2014; yearColumn = 2015, resighted by participant Mar and Apr 2015"
TATEJUAMD1,6/23/2015,2015,1202-99042,P,NA,NA
MOLIKARMD1,3/15/2009,2009,1232-87902,P,NA,"yearColumn = 2007, banded 7 June; yearColumn = 2009, resighted by BBL contact"
WILLTERMD1,3/19/2012,2012,1232-87911,P,NA,"yearColumn = 2008, banded 6/5; yearColumn = 2012, Resight by participant 3/19/2012; yearColumn = 2013, Resight by participant on September 28"
WILLTERMD1,9/28/2013,2013,1232-87911,P,NA,"yearColumn = 2008, banded 6/5; yearColumn = 2012, Resight by participant 3/19/2012; yearColumn = 2013, Resight by participant on September 28"
BALASUCMD1,3/28/2009,2009,1232-87912,P,NA,"yearColumn = 2008, banded 6/7; yearColumn = 2009, resighted 28 March by participant"
BALASUCMD1,3/28/2009,2009,1232-87913,P,NA,"yearColumn = 2008, banded 6/7; yearColumn = 2009, resighted 28 March by participant; yearColumn = 2010, Resight by participant Summer 2010; yearColumn = 2011, resighted by participant 20 March; yearColumn = 2012, resighted by participant 3/5, 4/7, 6/7."
BALASUCMD1,7/15/2010,2010,1232-87913,P,NA,"yearColumn = 2008, banded 6/7; yearColumn = 2009, resighted 28 March by participant; yearColumn = 2010, Resight by participant Summer 2010; yearColumn = 2011, resighted by participant 20 March; yearColumn = 2012, resighted by participant 3/5, 4/7, 6/7."
BALASUCMD1,3/20/2011,2011,1232-87913,P,NA,"yearColumn = 2008, banded 6/7; yearColumn = 2009, resighted 28 March by participant; yearColumn = 2010, Resight by participant Summer 2010; yearColumn = 2011, resighted by participant 20 March; yearColumn = 2012, resighted by participant 3/5, 4/7, 6/7."
BALASUCMD1,3/5/2012,2012,1232-87913,P,NA,"yearColumn = 2008, banded 6/7; yearColumn = 2009, resighted 28 March by participant; yearColumn = 2010, Resight by participant Summer 2010; yearColumn = 2011, resighted by participant 20 March; yearColumn = 2012, resighted by participant 3/5, 4/7, 6/7."
BALASUCMD1,4/7/2012,2012,1232-87913,P,NA,"yearColumn = 2008, banded 6/7; yearColumn = 2009, resighted 28 March by participant; yearColumn = 2010, Resight by participant Summer 2010; yearColumn = 2011, resighted by participant 20 March; yearColumn = 2012, resighted by participant 3/5, 4/7, 6/7."
BALASUCMD1,6/7/2012,2012,1232-87913,P,NA,"yearColumn = 2008, banded 6/7; yearColumn = 2009, resighted 28 March by participant; yearColumn = 2010, Resight by participant Summer 2010; yearColumn = 2011, resighted by participant 20 March; yearColumn = 2012, resighted by participant 3/5, 4/7, 6/7."
MCDOELIVA1,4/2/2008,2008,1232-88302,P,NA,"yearColumn = 2007, Banded 12 July; yearColumn = 2008, resighted by participant 2 april; yearColumn = 2009, resighted by AJR 7/29/09; yearColumn = 2010, resighted by participant 27 March, resighted 7/17/10; yearColumn = 2012, resighted by kam 6/4/2012; yearColumn = 2013, resighted by LF 6/16/2013"
MCDOELIVA1,3/27/2010,2010,1232-88302,P,NA,"yearColumn = 2007, Banded 12 July; yearColumn = 2008, resighted by participant 2 april; yearColumn = 2009, resighted by AJR 7/29/09; yearColumn = 2010, resighted by participant 27 March, resighted 7/17/10; yearColumn = 2012, resighted by kam 6/4/2012; yearColumn = 2013, resighted by LF 6/16/2013"
BROWANNDC1,6/15/2014,2014,1272-42421,P,NA,"yearColumn = 2012, captured 7/19; yearColumn = 2014, resighted by participant in June"
WILLTERMD1,3/20/2012,2012,1272-43052,P,NA,"yearColumn = 2010, banded 6/28; yearColumn = 2012, Resight by participant 3/20/2012"
FARYSIMMD1,7/6/2016,2016,1272-43070,P,NA,NA
VONGJENMD1,3/13/2011,2011,1272-43086,P,NA,"yearColumn = 2010, banded 5/10; yearColumn = 2011, resighted by participant 13 March"
BUISNORVA1,5/25/2012,2012,1292-64247,P,NA,"yearColumn = 2010, banded 5/29/10; yearColumn = 2012, resighted by participant 25 May"
PADORAMVA1,6/21/2012,2012,1292-64264,P,NA,"yearColumn = 2010, banded 7/1/10; yearColumn = 2012, resighted by participant 21 June"
LANDCELVA1,4/23/2010,2010,1292-64323,P,NA,"yearColumn = 2009, Banded 6/20/2009; yearColumn = 2010, resighted by participant 23 April"
LANDCELVA1,3/20/2010,2010,1292-64325,P,NA,"yearColumn = 2009, Banded 6/20/2009; resighted by participant 24 June; yearColumn = 2010, resighted by participant 20 March; 15, 23 April. resighted 6/4"
LANDCELVA1,4/15/2010,2010,1292-64325,P,NA,"yearColumn = 2009, Banded 6/20/2009; resighted by participant 24 June; yearColumn = 2010, resighted by participant 20 March; 15, 23 April. resighted 6/4"
LANDCELVA1,4/23/2010,2010,1292-64325,P,NA,"yearColumn = 2009, Banded 6/20/2009; resighted by participant 24 June; yearColumn = 2010, resighted by participant 20 March; 15, 23 April. resighted 6/4"
LEONTESDC1,4/7/2014,2014,1342-74095,P,NA,"yearColumn = 2013, Banded 6/5/2013; yearColumn = 2014, resighted by participant 7 April"
SALOSHEMD1,5/15/2003,2003,1721-48508,P,NA,"yearColumn = 2001, banded 25 June; yearColumn = 2003, resighted by participant 15 May"
BROWANNDC1,3/24/2003,2003,1721-48519,P,NA,"yearColumn = 2002, banded 9 April; yearColumn = 2003, resighted by participant 24 March; yearColumn = 2004, resighted by particpant 4/24; yearColumn = 2005, resighted by participant 19 May"
BROWANNDC1,4/24/2004,2004,1721-48519,P,NA,"yearColumn = 2002, banded 9 April; yearColumn = 2003, resighted by participant 24 March; yearColumn = 2004, resighted by particpant 4/24; yearColumn = 2005, resighted by participant 19 May"
BROWANNDC1,5/19/2005,2005,1721-48519,P,NA,"yearColumn = 2002, banded 9 April; yearColumn = 2003, resighted by participant 24 March; yearColumn = 2004, resighted by particpant 4/24; yearColumn = 2005, resighted by participant 19 May"
MANNJANDC1,12/14/2003,2003,1721-48527,P,NA,"yearColumn = 2002, banded 30 May; yearColumn = 2003, .resighted by participant 14 December; yearColumn = 2004, resighted by participant 2 May; yearColumn = 2005, resighted by participant 24 August; yearColumn = 2007, resighted by participant 25 April"
MANNJANDC1,5/2/2004,2004,1721-48527,P,NA,"yearColumn = 2002, banded 30 May; yearColumn = 2003, .resighted by participant 14 December; yearColumn = 2004, resighted by participant 2 May; yearColumn = 2005, resighted by participant 24 August; yearColumn = 2007, resighted by participant 25 April"
MANNJANDC1,8/24/2005,2005,1721-48527,P,NA,"yearColumn = 2002, banded 30 May; yearColumn = 2003, .resighted by participant 14 December; yearColumn = 2004, resighted by participant 2 May; yearColumn = 2005, resighted by participant 24 August; yearColumn = 2007, resighted by participant 25 April"
MANNJANDC1,4/25/2007,2007,1721-48527,P,NA,"yearColumn = 2002, banded 30 May; yearColumn = 2003, .resighted by participant 14 December; yearColumn = 2004, resighted by participant 2 May; yearColumn = 2005, resighted by participant 24 August; yearColumn = 2007, resighted by participant 25 April"
VERSBETMD1,3/15/2005,2005,1751-09312,P,NA,"yearColumn = 2004, banded 8 July; yearColumn = 2005, resighted by participant; yearColumn = 2006, resighted by participant 31 March"
VERSBETMD1,3/31/2006,2006,1751-09312,P,NA,"yearColumn = 2004, banded 8 July; yearColumn = 2005, resighted by participant; yearColumn = 2006, resighted by participant 31 March"
VERSBETMD1,3/15/2005,2005,1751-09313,P,NA,"yearColumn = 2004, banded 8 July; yearColumn = 2005, resighted by participant"
BROWANNMD1,5/27/2002,2002,1751-51904,P,NA,"yearColumn = 2001, banded 26 June; yearColumn = 2002, resight 27 May; resight 6 Sept; yearColumn = 2004, resight by participant 5/11"
BROWANNMD1,9/6/2002,2002,1751-51904,P,NA,"yearColumn = 2001, banded 26 June; yearColumn = 2002, resight 27 May; resight 6 Sept; yearColumn = 2004, resight by participant 5/11"
BROWANNMD1,5/11/2004,2004,1751-51904,P,NA,"yearColumn = 2001, banded 26 June; yearColumn = 2002, resight 27 May; resight 6 Sept; yearColumn = 2004, resight by participant 5/11"
COLSKATMD1,4/13/2003,2003,1751-51909,P,NA,"yearColumn = 2001, banded 20 June; yearColumn = 2003, resighted by participant 13 April"
CAMPGLOMD1,6/20/2002,2002,1751-51939,P,NA,"yearColumn = 2001, banded 31 MAy; yearColumn = 2002, resighted 20 June by participant"
CAMPGLOMD1,6/23/2002,2002,1751-51940,P,NA,"yearColumn = 2001, banded 31 May; yearColumn = 2002, resighted 23 June by participant; yearColumn = 2003, resighted 3 March by participant"
CAMPGLOMD1,3/3/2003,2003,1751-51940,P,NA,"yearColumn = 2001, banded 31 May; yearColumn = 2002, resighted 23 June by participant; yearColumn = 2003, resighted 3 March by participant"
TATEJUAMD1,6/10/2003,2003,1751-51948,P,NA,"yearColumn = 2001, banded 16 May; yearColumn = 2002, resight 18 June, recap 18 July; yearColumn = 2003, resight 10 June by participant"
TATEJUAMD1,3/10/2003,2003,1801-09454,P,NA,"yearColumn = 2002, banded 18 July; yearColumn = 2003, resight 10 March by participant"
TATEJUAMD1,3/10/2003,2003,1801-09455,P,NA,"yearColumn = 2002, banded 18 Juy; yearColumn = 2003, resight 10 March by participant; yearColumn = 2004, resight 4 april; yearColumn = 2005, resighted by participant 7/24"
TATEJUAMD1,4/4/2004,2004,1801-09455,P,NA,"yearColumn = 2002, banded 18 Juy; yearColumn = 2003, resight 10 March by participant; yearColumn = 2004, resight 4 april; yearColumn = 2005, resighted by participant 7/24"
TATEJUAMD1,7/24/2005,2005,1801-09455,P,NA,"yearColumn = 2002, banded 18 Juy; yearColumn = 2003, resight 10 March by participant; yearColumn = 2004, resight 4 april; yearColumn = 2005, resighted by participant 7/24"
BARBJERMD1,5/20/2004,2004,1801-09479,P,NA,"yearColumn = 2002, banded 1 August; yearColumn = 2004, resighted by participant 20 May; yearColumn = 2006, resighted by participant 17 March"
BARBJERMD1,3/17/2006,2006,1801-09479,P,NA,"yearColumn = 2002, banded 1 August; yearColumn = 2004, resighted by participant 20 May; yearColumn = 2006, resighted by participant 17 March"
STURCARMD1,8/21/2004,2004,1801-09563,P,NA,"yearColumn = 2003, Band 8 May, resight 7 June; yearColumn = 2004, Resighted 21 by participant 21 August; yearColumn = 2005, resighted by participant 21 March; yearColumn = 2006, resighted by participant 20 april; yearColumn = 2007, resighted by participant"
STURCARMD1,3/21/2005,2005,1801-09563,P,NA,"yearColumn = 2003, Band 8 May, resight 7 June; yearColumn = 2004, Resighted 21 by participant 21 August; yearColumn = 2005, resighted by participant 21 March; yearColumn = 2006, resighted by participant 20 april; yearColumn = 2007, resighted by participant"
STURCARMD1,4/20/2006,2006,1801-09563,P,NA,"yearColumn = 2003, Band 8 May, resight 7 June; yearColumn = 2004, Resighted 21 by participant 21 August; yearColumn = 2005, resighted by participant 21 March; yearColumn = 2006, resighted by participant 20 april; yearColumn = 2007, resighted by participant"
STURCARMD1,3/15/2007,2007,1801-09563,P,NA,"yearColumn = 2003, Band 8 May, resight 7 June; yearColumn = 2004, Resighted 21 by participant 21 August; yearColumn = 2005, resighted by participant 21 March; yearColumn = 2006, resighted by participant 20 april; yearColumn = 2007, resighted by participant"
OBRICHRMD1,5/17/2006,2006,1801-09574,P,NA,"yearColumn = 2003, Banded 19 May; yearColumn = 2006, resighted by participant 17 May"
BARBJERMD1,5/10/2010,2010,1801-09699,P,NA,"yearColumn = 2002, banded 18 Sept; yearColumn = 2010, resighted by participant  10 May"
BROWANNDC1,6/12/2004,2004,1801-77762,P,NA,"yearColumn = 2003, Banded 26 June; yearColumn = 2004, resight by participant 6/12"
BROWANNDC1,6/13/2004,2004,1801-77763,P,NA,"yearColumn = 2003, Banded 26 June; yearColumn = 2004, resight by participant  6/13"
SCHLROBMD1,4/2/2008,2008,1801-77847,P,NA,"yearColumn = 2004, banded; yearColumn = 2007, resighted 2 May; yearColumn = 2008, resighted by participant 17 Nov, 2 April"
SCHLROBMD1,11/17/2008,2008,1801-77847,P,NA,"yearColumn = 2004, banded; yearColumn = 2007, resighted 2 May; yearColumn = 2008, resighted by participant 17 Nov, 2 April"
MANNJANDC1,5/20/2004,2004,1801-77904,P,NA,"yearColumn = 2003, banded 5/28; yearColumn = 2004, resighted by participant 20 May"
BROWANNDC1,3/2/2004,2004,1811-58817,P,NA,"yearColumn = 2003, Banded 20 May; yearColumn = 2004, resighted by participant 3/2"
STANJEFMD1,7/17/2005,2005,1841-58841,P,NA,"yearColumn = 2004, banded 20 May; yearColumn = 2005, resighted by participant 17 July; yearColumn = 2006, recaptured June 17; yearColumn = 2007, resighted by participant and bander on 24 May; yearColumn = 2008, resighted by participant 1 June; yearColumn = 2009, resighted during visit 5/7/2009"
STANJEFMD1,6/1/2008,2008,1841-58841,P,NA,"yearColumn = 2004, banded 20 May; yearColumn = 2005, resighted by participant 17 July; yearColumn = 2006, recaptured June 17; yearColumn = 2007, resighted by participant and bander on 24 May; yearColumn = 2008, resighted by participant 1 June; yearColumn = 2009, resighted during visit 5/7/2009"
TATEJUAMD1,7/9/2005,2005,1841-58844,P,NA,"yearColumn = 2004, banded 27 May; yearColumn = 2005, resighted 7/9 by participant; yearColumn = 2006, recaptured May 27; yearColumn = 2007, resighted by participant 14 July "
TATEJUAMD1,7/14/2007,2007,1841-58844,P,NA,"yearColumn = 2004, banded 27 May; yearColumn = 2005, resighted 7/9 by participant; yearColumn = 2006, recaptured May 27; yearColumn = 2007, resighted by participant 14 July "
TATEJUAMD1,5/26/2006,2006,1841-58846,P,NA,"yearColumn = 2004, banded 27 May; yearColumn = 2006, resighted by resident 5/26/2006; yearColumn = 2007, resighted by participant 13 May"
TATEJUAMD1,5/13/2007,2007,1841-58846,P,NA,"yearColumn = 2004, banded 27 May; yearColumn = 2006, resighted by resident 5/26/2006; yearColumn = 2007, resighted by participant 13 May"
MANNJANDC1,4/8/2006,2006,1851-95465,P,NA,"yearColumn = 2005, banded 6 May; yearColumn = 2006, Resight by participant on April 8"
COLSKATMD1,5/2/2005,2005,1891-87378,P,NA,"yearColumn = 2004, banded 1 June; yearColumn = 2005, resighted by participant 2 May"
MANNJANDC1,4/15/2004,2004,1901-20501,P,NA,"yearColumn = 2003, banded 5/30; yearColumn = 2004, resighted by participant spring 2004; yearColumn = 2005, resighted by participant 19 August"
MANNJANDC1,8/19/2005,2005,1901-20501,P,NA,"yearColumn = 2003, banded 5/30; yearColumn = 2004, resighted by participant spring 2004; yearColumn = 2005, resighted by participant 19 August"
PERRCHRMD1,4/3/2003,2003,1920-85879,P,NA,"yearColumn = 2000, banded 28 April; yearColumn = 2002, resighted 7 April; yearColumn = 2003, resighted 3 April by participant"
OBRICHRMD1,2/21/2005,2005,1951-20963,P,NA,"yearColumn = 2004, banded; yearColumn = 2005, resighted by participant 21 Feb.; yearColumn = 2008, resighted by participant 3 June; yearColumn = 2010, Resighted 7/1/2010"
OBRICHRMD1,6/3/2008,2008,1951-20963,P,NA,"yearColumn = 2004, banded; yearColumn = 2005, resighted by participant 21 Feb.; yearColumn = 2008, resighted by participant 3 June; yearColumn = 2010, Resighted 7/1/2010"
TATEJUAMD1,7/14/2007,2007,1951-40956,P,NA,"yearColumn = 2005, banded 8 June; yearColumn = 2007, resighted by participant 14 July"
TATEJUAMD1,4/16/2006,2006,1951-40957,P,NA,"yearColumn = 2005, banded 8 June; yearColumn = 2006, resighted by participant 16 April; yearColumn = 2007, resighted by participant 21 June"
TATEJUAMD1,6/21/2007,2007,1951-40957,P,NA,"yearColumn = 2005, banded 8 June; yearColumn = 2006, resighted by participant 16 April; yearColumn = 2007, resighted by participant 21 June"
BLOCDAVMD1,5/26/2013,2013,1951-40968,P,NA,"yearColumn = 2005, banded 23 June; yearColumn = 2008, resighted 5/17; yearColumn = 2013, resighted by participant 5/26/2013"
SCHLROBMD1,2/2/2012,2012,1951-41057,P,NA,"yearColumn = 2007, banded 2 May; yearColumn = 2009, recaptured 5/15/2009; yearColumn = 2013, Resighted by participant 2/2/13"
STURCARMD1,4/28/2010,2010,1951-41073,P,NA,"yearColumn = 2007, Banded 31 May; yearColumn = 2009, resighted 7/3; yearColumn = 2010, resighted by participant 28 April"
STEWBETMD1,5/2/2008,2008,1951-41090,P,NA,"yearColumn = 2007, Banded 19 June; yearColumn = 2008, resighted by participant 2 May"
MANNJANDC1,4/26/2006,2006,1951-41101,P,NA,"yearColumn = 2005, banded 6 May; yearColumn = 2006, Resight by participant April 26; yearColumn = 2007, Resight by participant April 16; yearColumn = 2008, Resighted by participant, 
spring "
MANNJANDC1,4/16/2007,2007,1951-41101,P,NA,"yearColumn = 2005, banded 6 May; yearColumn = 2006, Resight by participant April 26; yearColumn = 2007, Resight by participant April 16; yearColumn = 2008, Resighted by participant, 
spring "
MANNJANDC1,4/15/2008,2008,1951-41101,P,NA,"yearColumn = 2005, banded 6 May; yearColumn = 2006, Resight by participant April 26; yearColumn = 2007, Resight by participant April 16; yearColumn = 2008, Resighted by participant, 
spring "
SALOSHEMD1,3/15/2008,2008,1951-41109,P,NA,"yearColumn = 2005, banded 8 June; yearColumn = 2008, resighted by participant; yearColumn = 2009, resighted 6/22"
COLSKATMD1,7/5/2007,2007,1951-41285,P,NA,"yearColumn = 2005, banded 9 June; yearColumn = 2007, resighted by participant 5 July"
BUISNORVA1,2/13/2009,2009,1991-21136,P,NA,"yearColumn = 2007, Banded 30 June; yearColumn = 2009, resighted by participant 13 Feb, 28 march; yearColumn = 2010, resighted by participant 11-13-2010"
BUISNORVA1,3/28/2009,2009,1991-21136,P,NA,"yearColumn = 2007, Banded 30 June; yearColumn = 2009, resighted by participant 13 Feb, 28 march; yearColumn = 2010, resighted by participant 11-13-2010"
BUISNORVA1,11/13/2010,2010,1991-21136,P,NA,"yearColumn = 2007, Banded 30 June; yearColumn = 2009, resighted by participant 13 Feb, 28 march; yearColumn = 2010, resighted by participant 11-13-2010"
NEWBCARVA1,4/1/2008,2008,1991-21138,P,NA,"yearColumn = 2007, Banded 2 July; yearColumn = 2008, resighted by participant 1 April; resighted July 11, 2008; yearColumn = 2009, recapture 5/22/2009; yearColumn = 2010, resighted by participant 17 May; yearColumn = 2011, resighted by participant 29 Oct.; yearColumn = 2012, resighted by participant Apr. 27, 2012; yearColumn = 2013, resighted by tech 7/31/13"
NEWBCARVA1,5/17/2010,2010,1991-21138,P,NA,"yearColumn = 2007, Banded 2 July; yearColumn = 2008, resighted by participant 1 April; resighted July 11, 2008; yearColumn = 2009, recapture 5/22/2009; yearColumn = 2010, resighted by participant 17 May; yearColumn = 2011, resighted by participant 29 Oct.; yearColumn = 2012, resighted by participant Apr. 27, 2012; yearColumn = 2013, resighted by tech 7/31/13"
NEWBCARVA1,10/29/2011,2011,1991-21138,P,NA,"yearColumn = 2007, Banded 2 July; yearColumn = 2008, resighted by participant 1 April; resighted July 11, 2008; yearColumn = 2009, recapture 5/22/2009; yearColumn = 2010, resighted by participant 17 May; yearColumn = 2011, resighted by participant 29 Oct.; yearColumn = 2012, resighted by participant Apr. 27, 2012; yearColumn = 2013, resighted by tech 7/31/13"
NEWBCARVA1,4/27/2012,2012,1991-21138,P,NA,"yearColumn = 2007, Banded 2 July; yearColumn = 2008, resighted by participant 1 April; resighted July 11, 2008; yearColumn = 2009, recapture 5/22/2009; yearColumn = 2010, resighted by participant 17 May; yearColumn = 2011, resighted by participant 29 Oct.; yearColumn = 2012, resighted by participant Apr. 27, 2012; yearColumn = 2013, resighted by tech 7/31/13"
TATEJUAMD1,5/14/2008,2008,1991-46141,P,NA,"yearColumn = 2007, BANDED; yearColumn = 2008, resighted by participant 14 May; yearColumn = 2009, RESIGHTED BY PARTICIPANT JUNE; yearColumn = 2010, resighted by participant 19 May, 22 June; yearColumn = 2011, resighted by participant 05/27/2011, 08/03/2011; yearColumn = 2012, resighted by participant 3 May, 15 June, 9 July"
TATEJUAMD1,6/15/2009,2009,1991-46141,P,NA,"yearColumn = 2007, BANDED; yearColumn = 2008, resighted by participant 14 May; yearColumn = 2009, RESIGHTED BY PARTICIPANT JUNE; yearColumn = 2010, resighted by participant 19 May, 22 June; yearColumn = 2011, resighted by participant 05/27/2011, 08/03/2011; yearColumn = 2012, resighted by participant 3 May, 15 June, 9 July"
TATEJUAMD1,5/19/2010,2010,1991-46141,P,NA,"yearColumn = 2007, BANDED; yearColumn = 2008, resighted by participant 14 May; yearColumn = 2009, RESIGHTED BY PARTICIPANT JUNE; yearColumn = 2010, resighted by participant 19 May, 22 June; yearColumn = 2011, resighted by participant 05/27/2011, 08/03/2011; yearColumn = 2012, resighted by participant 3 May, 15 June, 9 July"
