site,date,observerEnc,encounterType,speciesEnc,bandNumber,colorCombo,age,sex,breedingCond,fat,mass,wing,tl,tarsus,notesEnc,timeEnc
BLOCDAVMD1,2002-06-23,NA,Band,HOWR,2250-24626,"A,Y/P",AHY,M,NA,NA,10.5,51,NA,17.52,"yearColumn = 2002, banded 23 June -",NA
BLOCDAVMD1,2002-06-23,NA,Band,CACH,2250-24627,"BU/Y,A",U,U,NA,NA,9.3,58,NA,13.55,"yearColumn = 2002, banded 23 June -",NA
BLOCDAVMD1,2002-06-23,NA,Band,SOSP,1721-48956,"G/R,A",AHY,M,NA,NA,20.5,67,NA,22.71,"yearColumn = 2002, banded 23 June -",NA
BLOCDAVMD1,2002-06-23,NA,Band,CARW,1721-48957,"R,G/A",U,U,NA,NA,17.9,56,NA,21.05,"yearColumn = 2002, band 23 June, resight mid-July -",NA
STURCARMD1,2002-07-19,NA,Band,CACH,2250-90474,"Y/A,R",HY,U,NA,NA,9.2,58,NA,15.38,"yearColumn = 2002, banded 19 July -",NA
STURCARMD1,2002-07-19,NA,Band,CACH,2250-90476,"A/BK,P",HY,U,NA,NA,10.1,82,NA,15.54,"yearColumn = 2002, banded 19 July -",NA
STURCARMD1,2002-07-19,NA,Band,GRCA,8001-21497,"BK/Y,A",AHY,M,NA,NA,38.1,92,NA,28.46,"yearColumn = 2002, banded 19 July -",NA
STURCARMD1,2002-07-19,NA,Band,HOWR,2250-90477,"A/BK,P",AHY,M,NA,NA,11.4,50,NA,18.57,"yearColumn = 2002, banded 19 July -",NA
STURCARMD1,2002-07-19,NA,Band,CARW,1811-58519,"G,BU/A",AHY,M,NA,NA,18.8,NA,NA,22.65,"yearColumn = 2002, band 19 July, resight 30 Nov -",NA
STURCARMD1,2002-07-19,NA,Band,GRCA,8001-21494,"A,O/O",AHY,M,NA,NA,35.6,93,NA,29.35,"yearColumn = 2002, banded 19 July; yearColumn = 2003, resighted 30 July; yearColumn = 2004, Resighted by participant 21 August; yearColumn = 2005, resighted by participant 29 april -",NA
STURCARMD1,2002-07-19,NA,Band,GRCA,8001-21495,"O/A,BU",AHY,M,NA,NA,35.6,86.5,NA,28.03,"yearColumn = 2002, banded 19 July; yearColumn = 2003, resighted 25 May; yearColumn = 2004, resighted 14 July -",NA
STURCARMD1,2002-07-19,NA,Band,GRCA,8001-21496,"P,W/A",AHY,M,NA,NA,34.5,95,NA,27.59,"yearColumn = 2002, banded 19 July; yearColumn = 2003, resight 4 May -",NA
BLOCDAVMD1,2002-08-06,NA,Recap,CARW,1141-05611,"P/BK,A",AHY,M,NA,NA,20,NA,NA,NA,"yearColumn = 2001, banded 2 June; yearColumn = 2002, resight 23 June,recap 6 Aug -",NA
BLOCDAVMD1,2002-08-06,NA,Band,CARW,1811-58750,"W,A/BU",HY,U,NA,NA,NA,60,NA,21.93,"yearColumn = 2002, banded 6 August -",NA
STURCARMD1,2002-09-20,NA,Recap,CACH,2250-24059,"R/P,A",AHY,F,NA,NA,8.8,NA,NA,NA,"yearColumn = 2001, banded 13 June; yearColumn = 2002, resighted 6 June; recap 20 Sept; yearColumn = 2003, resight 11 May -",NA
STURCARMD1,2002-09-20,NA,Band,NOCA,8001-21363,"A,BK/R",HY,M,NA,NA,40.6,92,NA,NA,"yearColumn = 2002, banded 20 Sept -",NA
STURCARMD1,2002-09-20,NA,Band,NOCA,8001-21364,"A,O/BU",HY,M,NA,NA,40.6,87.5,NA,24.58,"yearColumn = 2002, band 20 Sept, resight 26 Oct -",NA
STURCARMD1,2002-09-20,NA,Band,CACH,2250-24396,"BU,A/Y",AHY,U,NA,NA,8.4,59,NA,15.04,"yearColumn = 2002, band 20 Sept, resight 23 Nov -",NA
STURCARMD1,2002-09-20,NA,Band,CACH,2250-24386,"BU/G,A",HY,U,NA,NA,10.4,63,NA,15.93,"yearColumn = 2002, banded 20 Sept; yearColumn = 2003, resight 12 Jan -",NA
STURCARMD1,2002-09-20,NA,Band,CACH,2250-24393,"BK/W,A",AHY,U,NA,NA,9.9,62,NA,15.18,"yearColumn = 2002, banded 20 Sept; yearColumn = 2003, resight 4 April -",NA
STURCARMD1,2002-09-20,NA,Band,CACH,2250-24394,"O,A/W",AHY,U,NA,NA,9.6,62,NA,16.15,"yearColumn = 2002, banded 20 Sept; yearColumn = 2003, resight 7 June -",NA
STURCARMD1,2002-09-20,NA,Band,NOCA,8001-21365,"BU,P/A",AHY,M,NA,NA,45.9,90,NA,24.29,"yearColumn = 2002, banded 20 Sept; yearColumn = 2003, resighted by participant 13 Jan -",NA
STURCARMD1,2003-05-08,NA,Band,NOCA,1801-09563,"A,P/G",AHY,M,NA,NA,40.4,94,NA,23.25,"yearColumn = 2003, Band 8 May, resight 7 June; yearColumn = 2004, Resighted 21 by participant 21 August; yearColumn = 2005, resighted by participant 21 March; yearColumn = 2006, resighted by participant 20 april; yearColumn = 2007, resighted by participant -",NA
STURCARMD1,2003-05-08,NA,Band,HOWR,2250-90370,"A,R/R",AHY,M,NA,NA,10.5,53,NA,17.84,"yearColumn = 2003, Banded 8 May; yearColumn = 2004, Resighted 14 July; yearColumn = 2005, resighted by participant 26 april, 12 July; yearColumn = 2009, resighted 7/13 -",NA
STURCARMD1,2003-05-08,NA,Band,HOWR,2250-90371,"W/P,A",AHY,F,NA,NA,12.2,47,NA,16.1,"yearColumn = 2003, Banded 8 May; yearColumn = 2004, Resighted 14 July -",NA
BRIGKIMMD1,2003-05-10,NA,Band,NOCA,1801-09568,"O,G/A",AHY,M,NA,NA,43.3,96,NA,24.43,"yearColumn = 2003, banded 10 May -",NA
BRIGKIMMD1,2003-05-10,NA,Band,AMRO,1152-87521,"A/BK,W",AHY,F,NA,NA,85.2,125,NA,34.03,"yearColumn = 2003, banded 10 may -",NA
BRIGKIMMD1,2003-05-10,NA,Band,AMRO,1152-87520,"R,A/BU",AHY,F,NA,NA,67.2,125,NA,32.38,"yearColumn = 2003, banded 10 may -",NA
STURCARMD1,2003-05-28,NA,Band,CARW,1811-58828,"P,P/A",AHY,F,NA,NA,17.8,56.5,NA,21.96,"yearColumn = 2003, banded 28 July -",NA
MANNJANDC1,2003-05-28,NA,Band,GRCA,1801-77904,"A/O,Y",ASY,M,NA,NA,39.8,92.5,NA,28.21,"yearColumn = 2003, banded 5/28; yearColumn = 2004, resighted by participant 20 May -",NA
STURCARMD1,2003-05-28,NA,Band,GRCA,1841-58824,"A,W/Y",AHY,F,NA,NA,37,90,NA,28.71,"yearColumn = 2003, banded 28 July; yearColumn = 2004, Resighted 14 July -",NA
MANNJANDC1,2003-05-30,NA,Band,SOSP,1901-20501,"W,BU/A",AHY,M,NA,NA,22,71,NA,21.51,"yearColumn = 2003, banded 5/30; yearColumn = 2004, resighted by participant spring 2004; yearColumn = 2005, resighted by participant 19 August -",NA
MANNJANDC1,2003-05-30,NA,Band,GRCA,1801-77906,"P/A,W",AHY,F,NA,NA,44.9,85.5,NA,27.56,"yearColumn = 2003, banded 5/30; yearColumn = 2004, resight 2 July -",NA
STURCARMD1,2003-06-02,NA,Band,AMRO,1152-87505,"Y,A",AHY,F,NA,NA,74.1,123.5,NA,32.8,"yearColumn = 2003, Banded 2 June -",NA
BRIGKIMMD1,2003-06-15,NA,Band,GRCA,1801-77963,"A,R/W",AHY,M,NA,NA,35.2,91,NA,28.9,"yearColumn = 2003, Banded 15 June -",NA
BRIGKIMMD1,2003-06-15,NA,Band,HOWR,2250-24169,"A/P,P",AHY,F,NA,NA,11.1,48.5,NA,16.7,"yearColumn = 2003, Banded 15 June -",NA
BLOCDAVMD1,2003-06-16,NA,Band,CACH,2250-24993,"W,O/A",HY,U,NA,NA,8.9,58.5,NA,15.09,"yearColumn = 2003, banded 16 June -",NA
BRIGKIMMD1,2003-06-26,NA,Band,SOSP,4501-87419,"BU/BK,A",AHY,M,NA,NA,21.3,66,NA,22.2,"yearColumn = 2003, Banded 26 June -",NA
BRIGKIMMD1,2003-06-26,NA,Band,NOCA,1801-77833,"A,P/P",AHY,F,NA,NA,42.1,94,NA,24.8,"yearColumn = 2003, Banded 26 June -",NA
COLSKATMD1,2003-06-27,NA,Band,GRCA,1801-77834,"BK,W/A",AHY,M,NA,NA,37.2,95,NA,28.03,"yearColumn = 2003, banded 27 June -",NA
COLSKATMD1,2003-06-27,NA,Band,HOWR,1821-63335,"O/A,P",AHY,M,NA,NA,10.7,48,NA,17.35,"yearColumn = 2003, banded 27 June -",NA
COLSKATMD1,2003-06-27,NA,Band,GRCA,1801-77835,"Y/A,O",AHY,M,NA,NA,32.7,92,NA,27.76,"yearColumn = 2003, banded 27 June; yearColumn = 2008, resighted 6/19/2008 -",NA
BEALTOMMD1,2003-07-14,NA,Band,HOWR,1950-50460,"A/BK,W",AHY,M,NA,NA,10.4,49.5,NA,16.49,"yearColumn = 2003, banded 14 July -",NA
BEALTOMMD1,2003-07-14,NA,Band,HOWR,1950-50461,"G/A,R",AHY,F,NA,NA,10.7,49,NA,16.74,"yearColumn = 2003, banded 14 july -",NA
STURCARMD1,2003-07-28,NA,Band,CARW,1811-58827,"A,O/G",AHY,F,NA,NA,20.7,62,NA,22.64,"yearColumn = 2003, banded 28 July -",NA
BEALTOMMD1,2004-04-27,NA,Band,CACH,1950-50472,"A/BK,O",AHY,M,NA,NA,9.3,61.5,NA,15.26,"yearColumn = 2004, banded 27 April -",NA
BEALTOMMD1,2004-04-27,NA,Band,HOWR,1950-50471,"O,Y/A",AHY,U,NA,NA,10.3,48.5,NA,17.97,"yearColumn = 2004, banded 27 April; yearColumn = 2005, resighted 19 June -",NA
STURCARMD1,2004-05-07,NA,Band,HOWR,2370-05701,"A,BK/Y",AHY,M,NA,NA,10.4,51,NA,17.4,"yearColumn = 2004, Banded 7 May -",NA
COLSKATMD1,2004-06-01,NA,Band,AMRO,742-29758,"W,A/O",AHY,F,NA,NA,88.3,123.5,NA,31.18,"yearColumn = 2004, banded 1 June -",NA
COLSKATMD1,2004-06-01,NA,Band,NOCA,1891-87378,"BU/A,BU",AHY,M,NA,NA,42.6,94,NA,22.5,"yearColumn = 2004, banded 1 June; yearColumn = 2005, resighted by participant 2 May -",NA
BLOCDAVMD1,2004-06-02,NA,Band,GRCA,1891-87379,"A,R/BU",AHY,M,NA,NA,35.4,87.5,NA,26.56,"yearColumn = 2004, banded 2 June -",NA
BLOCDAVMD1,2004-06-02,NA,Band,GRCA,1891-87380,"BK/O,A",AHY,M,NA,NA,35,87,NA,27.54,"yearColumn = 2004, banded 2 June -",NA
BLOCDAVMD1,2004-06-02,NA,Band,HOWR,2380-02404,"R,A/O",AHY,M,NA,NA,10.9,53,NA,17.14,"yearColumn = 2004, banded 2 June -",NA
MANNJANDC1,2004-07-02,NA,Band,CARW,4501-87455,"O,A/O",AHY,M,NA,NA,21.8,61,NA,21.53,"yearColumn = 2004, banded 2 July -",NA
MANNJANDC1,2004-07-02,NA,Band,HOWR,3500-74585,"P,G/A",AHY,M,NA,NA,10.8,50.5,NA,17.37,"yearColumn = 2004, banded 2 July -",NA
VERSBETMD1,2004-07-08,NA,Band,NOCA,1751-09312,"W,BU/A",AHY,M,NA,NA,46.3,94.5,NA,23.58,"yearColumn = 2004, banded 8 July; yearColumn = 2005, resighted by participant; yearColumn = 2006, resighted by participant 31 March -",NA
VERSBETMD1,2004-07-08,NA,Band,CARW,4501-87492,"A/P,Y",AHY,U,NA,NA,19.1,59,NA,21.12,"yearColumn = 2004, banded 8 July; yearColumn = 2014, resighted by participant -",NA
VERSBETMD1,2004-07-08,NA,Band,NOCA,1751-09313,"G/A,G",AHY,M,NA,NA,41.6,94,NA,25.18,"yearColumn = 2004, banded 8 July; yearColumn = 2005, resighted by participant -",NA
BRIGKIMMD1,2005-04-22,NA,Band,SOSP,1961-24093,"G,A/W",AHY,M,NA,NA,20.2,66,NA,20.53,"yearColumn = 2005, BANDED 4/22/2005 -",NA
BRIGKIMMD1,2005-04-22,NA,Band,AMRO,962-27947,"A,-",AHY,M,NA,NA,73.9,130,NA,31.8,"yearColumn = 2005, BANDED 4/22/2005 -",NA
MANNJANDC1,2005-05-06,NA,Band,NOCA,1951-41101,"R,A/W",AHY,F,NA,NA,42.9,91,NA,21.33,"yearColumn = 2005, banded 6 May; yearColumn = 2006, Resight by participant April 26; yearColumn = 2007, Resight by participant April 16; yearColumn = 2008, Resighted by participant, 
spring  -",NA
MANNJANDC1,2005-05-06,NA,Band,SOSP,1851-95465,"O,A/O",AHY,M,NA,NA,21,70,NA,20.45,"yearColumn = 2005, banded 6 May; yearColumn = 2006, Resight by participant on April 8 -",NA
VERSBETMD1,2005-05-26,NA,Band,NOCA,1951-41270,"BU/Y,A",AHY,M,NA,NA,43.6,90,NA,25.88,"yearColumn = 2005, banded 26 may -",NA
VERSBETMD1,2005-05-26,NA,Band,HOWR,2430-29208,"A,Y/Y",AHY,M,NA,NA,10.2,51,NA,18.03,"yearColumn = 2005, banded 26 May -",NA
VERSBETMD1,2005-05-26,NA,Band,SOSP,2241-17612,"Y,A/BU",AHY,M,NA,NA,20,65,NA,22.43,"yearColumn = 2005, banded 26 May; yearColumn = 2006, resighted by participant 5 July; yearColumn = 2007, Recapture 12 June; yearColumn = 2008, resighted by particpant 19 April -",NA
COLSKATMD1,2005-06-09,NA,Band,NOCA,1951-41284,"G/A,Y",AHY,F,NA,NA,40.6,92,NA,25.44,"yearColumn = 2005, banded 9 June -",NA
COLSKATMD1,2005-06-09,NA,Band,GRCA,1951-41286,"BK,R/A",AHY,F,NA,NA,34.8,90,NA,25.92,"yearColumn = 2005, banded 9 June -",NA
COLSKATMD1,2005-06-09,NA,Band,CARW,2241-17722,"G,A/O",AHY,M,NA,NA,23.4,60,NA,24.35,"yearColumn = 2005, banded 9 June; yearColumn = 2008, resighted by particpant 22 January 2009 -",NA
COLSKATMD1,2005-06-09,NA,Band,GRCA,1951-41285,"A/Y,P",AHY,M,NA,NA,35.2,94,NA,28.99,"yearColumn = 2005, banded 9 June; yearColumn = 2007, resighted by participant 5 July -",NA
BEALTOMMD1,2005-06-19,NA,Band,CARW,2241-17619,"A,O/BK",AHY,M,NA,NA,20.4,61,NA,21.67,"yearColumn = 2005, banded 19 June -",NA
BLOCDAVMD1,2005-06-23,NA,Band,SOSP,2241-17620,"R/P,A",AHY,M,NA,NA,21.4,66,NA,22.07,"yearColumn = 2005, banded 23 Jun; yearColumn = 2008, resighted 5/17; yearColumn = 2009, RESIGHTED BY PARTICIPANT -",NA
BLOCDAVMD1,2005-06-23,NA,Band,GRCA,1951-40968,"G/A,R",AHY,M,NA,NA,32,84,NA,28.11,"yearColumn = 2005, banded 23 June; yearColumn = 2008, resighted 5/17; yearColumn = 2013, resighted by participant 5/26/2013 -",NA
STURCARMD1,2005-07-12,NA,Band,HOWR,2370-05691,"A,G/BK",AHY,U,NA,NA,14,47,NA,16.77,"yearColumn = 2005, banded 12 July -",NA
